,Name,Team,Mins Per Game,Field Goal %,Rebounds Per Game,Assists Per Game,Steals Per Game,Blocks Per Game,Turnovers Per Game,Points Per Game
112,Nick Richards,CHO,7.3,.667,1.7,0.3,0.2,0.4,0.5,3.0
113,Vernon Carey Jr.,CHO,4.3,.500,1.3,0.0,0.3,0.0,0.3,2.0
114,Scottie Lewis,CHO,3.5,,0.0,0.5,0.5,0.0,0.0,0.5
115,Kai Jones,CHO,3.0,.643,0.5,0.2,0.0,0.1,0.3,1.0
116,Arnoldas Kulboka,CHO,2.5,.000,0.0,0.0,0.0,0.0,0.0,0.0
117,Darius Garland,CLE,35.7,.462,3.3,8.6,1.3,0.1,3.6,21.7
118,Evan Mobley,CLE,33.8,.508,8.3,2.5,0.8,1.7,1.9,15.0
119,Jarrett Allen,CLE,32.3,.677,10.8,1.6,0.8,1.3,1.7,16.1
120,Lauri Markkanen,CLE,30.8,.445,5.7,1.3,0.7,0.5,0.9,14.8
121,Caris LeVert,CLE,29.8,.435,3.4,3.9,0.8,0.3,1.7,13.6
122,Isaac Okoro,CLE,29.6,.480,3.0,1.8,0.8,0.3,0.9,8.8
123,Collin Sexton,CLE,28.7,.450,3.3,2.1,0.9,0.0,2.8,16.0
124,Ricky Rubio,CLE,28.5,.363,4.1,6.6,1.4,0.2,2.6,13.1
